"","Group1","V1","tbodyaccmeanx","tbodyaccmeany","tbodyaccmeanz","tgravityaccmeanx","tgravityaccmeany","tgravityaccmeanz","tbodyaccjerkmeanx","tbodyaccjerkmeany","tbodyaccjerkmeanz","tbodygyromeanx","tbodygyromeany","tbodygyromeanz","tbodygyrojerkmeanx","tbodygyrojerkmeany","tbodygyrojerkmeanz","tbodyaccmagmean","tgravityaccmagmean","tbodyaccjerkmagmean","tbodygyromagmean","tbodygyrojerkmagmean","fbodyaccmeanx","fbodyaccmeany","fbodyaccmeanz","fbodyaccmeanfreqx","fbodyaccmeanfreqy","fbodyaccmeanfreqz","fbodyaccjerkmeanx","fbodyaccjerkmeany","fbodyaccjerkmeanz","fbodyaccjerkmeanfreqx","fbodyaccjerkmeanfreqy","fbodyaccjerkmeanfreqz","fbodygyromeanx","fbodygyromeany","fbodygyromeanz","fbodygyromeanfreqx","fbodygyromeanfreqy","fbodygyromeanfreqz","fbodyaccmagmean","fbodyaccmagmeanfreq","fbodybodyaccjerkmagmean","fbodybodyaccjerkmagmeanfreq","fbodybodygyromagmean","fbodybodygyromagmeanfreq","fbodybodygyrojerkmagmean","fbodybodygyrojerkmagmeanfreq","angletbodyaccmeangravity","angletbodyaccjerkmeangravitymean","angletbodygyromeangravitymean","angletbodygyrojerkmeangravitymean","anglexgravitymean","angleygravitymean","anglezgravitymean"
"1","laying",1,0.272574900655738,-0.0163177532121311,-0.107160088262295,-0.225603749229508,-0.0857942373770492,0.896978231639344,0.0792076921639344,0.0152010497980328,-0.00318962539237705,-0.0121981137868852,-0.108900449770492,0.0900195484754098,-0.103300588622951,-0.0361274578327869,-0.0563869672459016,-0.96183419295082,-0.96183419295082,-0.988180212131147,-0.953848269508197,-0.990505326557377,-0.979040897704918,-0.965719682622951,-0.975512832622951,-0.371628636393443,-0.196146078852459,0.127293120121311,-0.988091066557377,-0.984855225901639,-0.985510000327869,0.0610818165540984,-0.0325509023936066,0.0677926570147541,-0.97517484,-0.976400408688525,-0.987398020983607,-0.134761273609836,-0.246424594639344,0.114071039552623,-0.968843978852459,-0.14136486952459,-0.987348043442623,0.353773013137705,-0.970879046721311,-0.136321038377049,-0.988250657213115,0.0993832808018033,0.0565429792970492,0.0320520223245902,0.00848401293655738,0.0561568641967213,0.411983841639344,0.146052632295082,-0.761181434590164
"2","sitting",1,0.276875692884615,-0.0145220521557692,-0.1044127165,0.938022554038462,-0.0785736409423077,0.145161092461538,0.07574939575,0.00915676220903846,-0.00611080135557692,-0.0368848696769231,-0.0659106753076923,0.0909894822538461,-0.0953201320769231,-0.0401082268542308,-0.0554534285846154,-0.982864775384615,-0.982864775384615,-0.991320705769231,-0.971467071346154,-0.995942333269231,-0.993634982307692,-0.978307868461538,-0.9810432725,0.0229582476596154,0.215708388923077,0.1874398965,-0.993962126730769,-0.986716618269231,-0.986997350576923,0.227014118996154,0.0504831175519231,0.0693338327596154,-0.987791569038462,-0.986647713653846,-0.986802088846154,0.205579053796154,-0.154072387761538,0.247550746705769,-0.982456742692308,0.279732578307692,-0.990243476730769,0.369829281711538,-0.981928315384615,0.0536850692730769,-0.994562518461538,0.304950238682692,0.0205986814153846,0.00678066561538462,0.0132842503884615,-0.0202739935403846,-0.781145991346154,0.137524089326923,-0.0804959632692308
"3","standing",1,0.278971261529412,-0.0176250647790588,-0.107684548588235,0.923877451882353,-0.0690943130705882,-0.217545914788235,0.0748302113647059,0.0125102284291647,-0.000843189326705882,-0.0277124374082353,-0.0693813192788235,0.0883755063176471,-0.100517048423529,-0.0416788892588235,-0.0549623602,-0.974277650941176,-0.974277650941176,-0.989323853411765,-0.970373976588235,-0.992271138352941,-0.990359806941176,-0.968387368235294,-0.975506579764706,-0.0345291487105882,0.0237800941828235,0.0493669536823529,-0.990572315411765,-0.981895637529412,-0.986831266235294,0.234069951330588,0.00128134884741177,-0.00453746357764706,-0.972407113764706,-0.982395494235294,-0.982536502117647,-0.18860725344,-0.224015152341176,-0.0533714098247059,-0.975064838941176,0.0456539682035294,-0.986724676352941,0.346694051858824,-0.975415877411765,-0.167256521152941,-0.990389884117647,0.220959804144706,0.0124570002210588,0.0162633808917647,0.0411611699294118,0.0403908665882353,-0.744738983764706,0.130931604588235,0.175004833494118
"4","walking",1,0.276023564509804,-0.0204286929452941,-0.108804049803922,0.925981326078431,-0.0668246472745098,-0.217351194313725,0.0770223771764706,0.00968444678235294,0.00360803282352941,-0.0151721912792157,-0.0695955689607843,0.0818650735686274,-0.110917348282353,-0.0433876843176471,-0.0532986670705882,-0.258766694117647,-0.258766694117647,-0.363144483529412,-0.485931932745098,-0.671541834117647,-0.394790433529412,-0.321500667843137,-0.244363048235294,-0.350681958176471,-0.0270392028607843,0.0309811083103922,-0.44140618254902,-0.454270822156863,-0.422332394117647,-0.330912145882353,-0.396511933696078,-0.453928997882353,-0.59574648627451,-0.619731930392157,-0.432885310980392,-0.184031594529412,-0.0870475841176471,-0.285078729888235,-0.410463241960784,0.175600477686275,-0.378278490588235,0.0921999142870588,-0.669228540784314,0.179727428509804,-0.72068229,0.1076755658,0.014808426,0.0100011474509804,-0.109617479829412,0.0878579411176471,-0.734720621176471,0.129418360588235,0.174356318431373
"5","walkingdownstairs",1,0.295586802191489,-0.0183898583787234,-0.119873705148936,0.917818427021277,-0.0584832676382979,-0.225382496382979,0.0907857064255319,-0.0148114530276596,-0.029312256293617,-0.0225373369978723,-0.068264792706383,0.0835380057,-0.103904044543617,-0.0567686629753191,-0.0612136932929787,0.191079793587447,0.191079793587447,-0.165908810808511,-0.309820427234043,-0.590896636382979,0.0368263528276596,-0.134598352726809,-0.04769426376,-0.447958436170213,-0.00264587983404255,0.0352940709170213,-0.155444882765957,-0.289957855489362,-0.241974080021277,-0.368978400468085,-0.417064208808511,-0.376637686702128,-0.420844008625532,-0.479512983617021,-0.375000625531915,-0.282624940382979,0.0791059230361702,-0.121321578170213,0.114032088546809,0.0201391853085106,-0.0745659082223404,-0.0148414437446808,-0.488253939574468,0.041547289106383,-0.58966315,0.102927876712766,-0.163042575021277,-0.0449862704468085,0.12649939587234,-0.0557949436914894,-0.731151421702128,0.123723224093617,0.180955706382979
"6","walkingupstairs",1,0.255986102627451,-0.0143654945011765,-0.124074517745098,0.826874282745098,-0.0805926025490196,-0.379059698039216,0.0762526677,0.0173729333352941,0.0380533591627451,0.0718408878078431,-0.0486136789705882,-0.00779288021764706,-0.140908293613922,-0.0296211298558824,-0.035416300054902,-0.233990331568627,-0.233990331568627,-0.48321905,-0.308260568039216,-0.737705162156863,-0.474984014705882,-0.268063812745098,-0.335853041176471,-0.438031145882353,-0.223644983547059,-0.301508248862745,-0.546088862941176,-0.468605205294118,-0.565220840588235,-0.332237727509804,-0.535799234509804,-0.519560112156863,-0.53239971627451,-0.642018064117647,-0.492427493529412,-0.380643599411765,-0.311988459980392,-0.419784041764706,-0.370649738235294,-0.0937396805764706,-0.475597717843137,0.0673443714078431,-0.630546675490196,-0.279231071313725,-0.787833632352941,0.13453789232549,0.0238927530392157,0.0808783829,-0.269905448235294,0.175222850392157,-0.545576641372549,0.138773099601961,0.293497544705882
"7","laying",2,0.22159824394,-0.0405139534294,-0.11320355358,-0.24888179828,0.70554977346,0.4458177198,0.0810865342,0.0038382040088,0.010834236361,-0.016553093978,-0.064486124088,0.14868943626,-0.107270949192,-0.04151728689,-0.0740501211,-0.8419291525,-0.8419291525,-0.9543962646,-0.874759548,-0.96346103,-0.9390990524,-0.86706520518,-0.8826668762,-0.158792670508,0.097534841586,0.08943765522,-0.9570738838,-0.9224626098,-0.9480609042,0.132419092398,0.024513618956,0.02438794528,-0.850249174586,-0.9521914948,-0.909302721,-0.003546795856,-0.091529130882,0.01045812566,-0.8617676481,0.08640856294,-0.9333003608,0.26639115416,-0.8621901854,-0.1397750127,-0.9423669466,0.17648590708,0.0213659655642,0.00306040735,-0.001666984698,0.08443716468,0.4267062264,-0.52034381798,-0.35241310896
"8","sitting",2,0.261237565425532,-0.00130828765170213,-0.104544182255319,0.831509933404255,0.204411592680851,0.332043702765957,0.0774825199574468,-0.000619102785106384,-0.00336779235021277,-0.045350056512766,-0.0919241549361702,0.0629313811914894,-0.0936793807234043,-0.0402118124255319,-0.046702627,-0.948536786170213,-0.948536786170213,-0.987364195531915,-0.93089249,-0.991976341276596,-0.979641238723404,-0.944084550425532,-0.959184889148936,-0.0495135975489362,0.0759460768510638,0.238829870148936,-0.986597022553191,-0.981579467021277,-0.986053092340425,0.256610823568085,0.0475437839595745,0.0923920032553192,-0.976161464042553,-0.975838585319149,-0.951315544468085,0.189153021260851,0.0631270669787234,-0.0297839207446809,-0.947782922553192,0.236655011680851,-0.985262126808511,0.351852201957447,-0.958435589361702,-0.000262186717021277,-0.989797547234043,0.184775928085106,0.0274415479191489,0.0297097878297872,0.0676981338723404,-0.064881619087234,-0.591247480212766,-0.0604660253808511,-0.218017225106383
"9","standing",2,0.278917629056604,-0.0161375901037736,-0.110601817735849,0.942952000377358,-0.272983832264151,0.0134905823226415,0.0753766542264151,0.00797573092830189,-0.00368524954709434,-0.0239877347979245,-0.0593972209811321,0.074800751,-0.0996092129056604,-0.0440627877924528,-0.0489505466716981,-0.984278207358491,-0.984278207358491,-0.992367790566038,-0.976493792830189,-0.994966790566038,-0.995249932641509,-0.977070847735849,-0.985297098679245,0.0865153619088679,0.117478948718868,0.244858585792453,-0.994630797358491,-0.985418704528302,-0.990752166037736,0.314182940150943,0.0391618954943396,0.138581478749057,-0.986386786037736,-0.988984455849057,-0.980773122830189,-0.120293020603774,-0.0447191978169811,0.100607635139623,-0.985356361132075,0.284555290773585,-0.99254247754717,0.422220102264151,-0.984617623396226,-0.0286057725328302,-0.994815376981132,0.334498734301887,-0.000222340747169812,0.021963782690566,-0.0337938382037736,-0.0279229321962264,-0.743407887924528,0.270175032830189,0.0122528503773585
"10","walking",2,0.277330758736842,-0.0173838185273684,-0.111148103547368,0.935223201473684,-0.282165021263158,-0.068102864,0.0740416333157895,0.0282721095884211,-0.00416840617789474,-0.041830963526,-0.0695300462115789,0.0849448173042105,-0.0899975423705263,-0.0398428709463158,-0.0461309295021053,-0.136971176556842,-0.136971176556842,-0.141428809031579,-0.160979552536842,-0.298703679084211,-0.202794306326316,0.0897127264021053,-0.331560117789474,-0.207548374494737,0.113093646103158,0.0497265196172632,-0.170546964549579,-0.0352255241130632,-0.468999224631579,-0.209261973376842,-0.386237143210526,-0.185530281244211,-0.339032197115789,-0.103059416434737,-0.255940940315789,0.0147844986621053,-0.0657746190010526,0.00077332156431579,-0.128623450629474,0.1906437244,-0.0571194000343158,0.0938221807027368,-0.199252568986316,0.268844367525895,-0.319308593778947,0.190663448793684,0.0604537474147368,-0.00793037848421052,0.0130594907157895,-0.0187431910452632,-0.729247201052632,0.276953023473684,0.0688589119894737
"11","walkingdownstairs",2,0.293531163548387,-0.00921545945806452,-0.111941925306452,0.936613009677419,-0.253155547096774,-0.0406532838096774,0.0662208958709677,0.034324006483871,-0.0142968861354839,-0.0797901485048387,-0.0555438401290323,0.0967082963016129,-0.0486799055396774,-0.0433254226774194,-0.0300588970580645,0.0130976833548387,0.0130976833548387,-0.101095541129032,-0.0721127444516129,-0.299363805290323,0.0147499641322581,0.00801827029548387,-0.241389213870968,-0.319607544806452,0.0677007494483871,0.279969777700645,-0.042085567516129,-0.126288625929032,-0.303387971290323,-0.239357505741935,-0.355567664387097,-0.0235365213645161,-0.345867239896774,-0.035892238483871,-0.0481594238612903,-0.0687293717096774,0.0754416185516129,-0.0873081098967742,0.0944743823516129,0.0965712336774193,0.00334824889354839,0.0901649208,-0.175067546725806,0.317489155935484,-0.26754342486129,0.165407617777097,-0.0189785332193548,0.0759236151935484,0.163938326483871,-0.0993709037419355,-0.762874206129032,0.258064635483871,0.0500972620322581
"12","walkingupstairs",2,0.262390563461538,-0.0245333658115385,-0.100401651076923,0.906003290384615,-0.337704294615385,-0.0541454797307692,0.127886113288462,0.0175116667307692,-0.0783041399230769,0.0420931393846154,-0.169067787757692,0.0698947516192308,-0.110691014230769,-0.0391763784961538,-0.0467316225730769,-0.158013555923077,-0.158013555923077,-0.490636396923077,-0.165615270053846,-0.614974361923077,-0.427255923461538,-0.216957660626923,-0.428717743076923,-0.445040255,-0.187615569692308,-0.505966497692308,-0.506236508076923,-0.439442387307692,-0.691453345,-0.398273484615385,-0.527225244615385,-0.549135537692308,-0.495685779230769,-0.328657714230769,-0.469625823461538,-0.195852248269231,-0.439272905384615,-0.137925632711538,-0.373989073461538,-0.0970756783846154,-0.470819905,0.0687266856423077,-0.350990914615385,-0.2199580485,-0.648562445384615,0.0588162461423077,0.00738654244230769,-0.0899678048846154,-0.210854944615385,0.0362777542692308,-0.676721755384615,0.317457519230769,0.0594306191923077
"13","laying",3,0.269780085577465,-0.0168462006729577,-0.107006279704225,-0.19913309,0.658792072253521,0.722657502112676,0.077908974656338,0.00706867100408451,-0.000143542544507042,-0.0234756467113239,-0.0944580192535211,0.111440490309859,-0.102049763957746,-0.0361961143943662,-0.0604927046338028,-0.953021411126761,-0.953021411126761,-0.981607627887324,-0.960733121690141,-0.985542411126761,-0.974359280140845,-0.954648102253521,-0.965406091549296,-0.115141826580282,0.0546075608732394,0.0834467170676056,-0.98147206915493,-0.977212387746479,-0.98038005915493,0.188447976580282,0.0279305879725352,0.0265752327492958,-0.971949211126761,-0.973669098591549,-0.976164852112676,0.00656792310211268,0.0154847631971831,0.131970584167183,-0.961046326338028,-0.0494678208816901,-0.979687318732394,0.374273668633803,-0.969014444788732,-0.0465567390414085,-0.982765526478873,0.242850862323944,0.00777276090309859,0.0190444742957746,0.0150996692507042,-0.0530255507746479,0.395076582253521,-0.426235558450704,-0.555002876901408
"14","sitting",3,0.2764961986,-0.016623368934,-0.11549691672,0.9401419428,-0.0198362108,-0.14409671375,0.07578907156,0.0075075498052,0.0014528393936,-0.04551454736,-0.060631989638,0.080673760832,-0.09399360736,-0.04246011294,-0.050451904972,-0.9732503482,-0.9732503482,-0.992841159,-0.9623725244,-0.9961284476,-0.9940958718,-0.9701759018,-0.974502007,0.00685020271,0.102415201588,0.155382415646,-0.9943072866,-0.9883839332,-0.9890826528,0.22856881961,0.070183023186,0.09378788574,-0.9870603934,-0.9879699212,-0.97967172,0.124315684698,-0.18004580208,0.077656512934,-0.9741065602,0.095457775006,-0.9915767148,0.39178786968,-0.9813425596,-0.089114682189,-0.9950952876,0.344381416032,-0.0114858129308,0.0049567079818,0.042474147276,-0.06175956736,-0.7993838986,0.09736205864,0.12394771647
"15","standing",3,0.279110409230769,-0.0164282628415385,-0.111110627816462,0.926316147230769,-0.298601537538462,0.0148460273076923,0.0735695288153846,0.00642064560323077,-0.00304619514923077,-0.0269929620830769,-0.0752022153692308,0.0794571227384615,-0.100847323953846,-0.0402927054153846,-0.0547460030615385,-0.968016942307692,-0.968016942307692,-0.986769841692308,-0.964484570923077,-0.988925433384615,-0.987941551538462,-0.960362172769231,-0.971565369846154,0.00893046253846154,-0.00966411244153846,0.0149035436938462,-0.987641997230769,-0.975431918923077,-0.985729005076923,0.233663317369231,-0.0163834416215385,0.0390931361335385,-0.965953122307692,-0.982200955846154,-0.975803812307692,-0.208853725099385,-0.255631064138462,-0.00612070962923077,-0.970321939692308,0.0467688928153846,-0.981534447230769,0.352169537756923,-0.973869050769231,-0.198051264207692,-0.986642608153846,0.177024824343077,0.0128580820452308,0.013493101844,0.0217864786461538,0.0288522373384615,-0.706670456769231,0.288584325230769,0.0113653137384615
"16","walking",3,0.272341855245902,-0.0184875403339344,-0.109792122032787,0.92811236852459,-0.179927382704918,-0.190265949622951,0.0773188580032787,0.0130098548360656,0.0243753334442623,-0.00922265519180328,-0.0839773343770492,0.0757132656704918,-0.109959237927869,-0.0379251328622951,-0.0513807166754098,-0.151151487704918,-0.151151487704918,-0.301093269180328,-0.335009836885246,-0.517167440655738,-0.360991674918033,-0.0650267622126229,-0.382832802295082,-0.414940955557377,0.00857138068540984,-0.0933328732232787,-0.423446094590164,-0.194232721737705,-0.523427055737705,-0.43680842295082,-0.40049341595082,-0.446731876721311,-0.40771670852459,-0.490166286557377,-0.398809217540984,-0.102582658990164,-0.0761681172065574,-0.163270727868852,-0.429380043442623,0.174349227754098,-0.335938891803279,0.0274103270236066,-0.518618058688525,0.351564688770492,-0.582711859672131,0.152044228696721,0.0631849965737705,-0.00860624890163935,0.0733299990819672,0.0101386455737705,-0.727020840163934,0.207186541803279,0.155074008229508
"17","walkingdownstairs",3,0.29391828326087,-0.0167359404347826,-0.0892432745173913,0.928817578043478,-0.151077057652174,-0.160962985956522,0.118250858006522,-0.0113826178208696,-0.00939838078195652,0.0677728390673913,-0.123517195928261,0.0162878745776087,-0.1077700285,-0.0381702367441304,-0.0582518846641304,0.148951103536087,0.148951103536087,-0.221631694184783,-0.232641763307609,-0.540325787826087,-0.0226239171245652,-0.130272514565217,-0.3180818605,-0.514562240434783,-0.155801013828261,-0.113333185608696,-0.215092049054348,-0.351268404347826,-0.498668458043478,-0.508557029565217,-0.559085845869565,-0.452939005217391,-0.316412962967391,-0.451126869347826,-0.403380386086957,-0.279498021580435,-0.0744451681576087,-0.154726798605435,0.0580680522108696,-0.0553633752984783,-0.188680399771739,-0.0445946372391304,-0.40943875826087,-0.0258920214847826,-0.57734888,0.163045288093478,-0.0617784494130435,-0.120553975717391,-0.0798154573913044,0.00739991945652174,-0.754580714565217,0.18768213,0.135724922673913
"18","walkingupstairs",3,0.252604768583333,-0.0228645614308333,-0.121290442104167,0.853530565833333,-0.284153753333333,-0.298171464166667,0.07680441704375,0.03083565139375,0.00759533846458334,-0.0304250571395833,-0.0548455941370417,0.0560931358145833,-0.142655397660417,-0.0414496328508333,-0.0223482086545833,-0.0128062276916667,-0.0128062276916667,-0.357233897916667,-0.235191249091667,-0.637367490625,-0.1397522212625,-0.1175197356,-0.3999234945625,-0.5292345090625,-0.15669437456875,-0.258321394134167,-0.360272225833333,-0.37705192875,-0.633017707916667,-0.576044001875,-0.474055998333333,-0.552822976041667,-0.416223018291667,-0.521435415208333,-0.324273713333333,-0.230933831489583,-0.210551597316667,-0.349178571291667,-0.150305643291667,-0.184408514979167,-0.360299853125,-0.0890136151333333,-0.504066956875,-0.103520890333333,-0.669008763541667,0.0865541719604167,0.0589956285104167,0.0683932524979167,-0.0275795836041667,0.105621270333333,-0.572547818333333,0.279992530833333,0.23325887375
"19","laying",4,0.275516852741935,-0.0189556785048387,-0.101300477506452,-0.241758478064516,0.837032099677419,0.48870318516129,0.0769811125806452,0.0138041011306452,-0.00435625874355645,-0.0208170540330645,-0.0718507159435484,0.137999561112903,-0.10004449883871,-0.0389771765322581,-0.06873387,-0.972791346129032,-0.972791346129032,-0.979484593387097,-0.951564751451613,-0.98671362516129,-0.980665609032258,-0.961169982903226,-0.968332141612903,-0.0739526439887097,0.238470751435484,0.216971671672581,-0.980513202258064,-0.968752113709677,-0.979122344354839,0.17597855438871,-0.0131774961758065,0.0448196905903226,-0.970167262903226,-0.978099682258065,-0.962341960806452,-0.0822166454290323,-0.0266820108903226,0.147686455548065,-0.96552427516129,0.236990127870968,-0.975949597903226,0.238611133937097,-0.96458672483871,-0.0229296114693548,-0.984278251290323,0.110697704185484,0.0178959376270161,0.0166479534356452,0.0455874765919355,0.0317261682790323,0.423505857096774,-0.630062847096774,-0.346243070483871
